Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Wrangell-Petersburg,,Male,Hispanic
AK,Yakutat,,Male,Hispanic
AK,Yukon-Koyukuk,,Male,Hispanic
AK,Aleutians East,,Female,Hispanic
AK,Aleutians West,,Female,Hispanic
AK,Anchorage,67.2,Female,Hispanic
AK,Bethel,,Female,Hispanic
AK,Bristol Bay,,Female,Hispanic
AK,Denali,,Female,Hispanic
AK,Dillingham,,Female,Hispanic
AK,Fairbanks North Star,,Female,Hispanic
AK,Haines,,Female,Hispanic
AK,Juneau,,Female,Hispanic
AK,Kenai Peninsula,,Female,Hispanic
AK,Ketchikan Gateway,,Female,Hispanic
AK,Kodiak Island,,Female,Hispanic
AK,Lake and Peninsula,,Female,Hispanic
AK,Matanuska-Susitna,,Female,Hispanic
AK,Nome,,Female,Hispanic
AK,North Slope,,Female,Hispanic
AK,Northwest Arctic,,Female,Hispanic
AK,Prince of Wales-Outer Ketchikan,,Female,Hispanic
AK,Sitka,,Female,Hispanic
AK,Skagway-Hoonah-Angoon,,Female,Hispanic
AK,Southeast Fairbanks,,Female,Hispanic
AK,Valdez-Cordova,,Female,Hispanic
AK,Wade Hampton,,Female,Hispanic
AK,Wrangell-Petersburg,,Female,Hispanic
AK,Yakutat,,Female,Hispanic
AK,Yukon-Koyukuk,,Female,Hispanic
AK,Aleutians East,,Overall,Asian and Pacific Islander
AK,Aleutians West,,Overall,Asian and Pacific Islander
AK,Anchorage,214.9,Overall,Asian and Pacific Islander
AK,Bethel,,Overall,Asian and Pacific Islander
AK,Bristol Bay,,Overall,Asian and Pacific Islander
AK,Denali,,Overall,Asian and Pacific Islander
AK,Dillingham,,Overall,Asian and Pacific Islander
AK,Fairbanks North Star,,Overall,Asian and Pacific Islander
AK,Haines,,Overall,Asian and Pacific Islander
AK,Juneau,,Overall,Asian and Pacific Islander
AK,Kenai Peninsula,125,Overall,Asian and Pacific Islander
AK,Ketchikan Gateway,,Overall,Asian and Pacific Islander
AL,Bibb County,433.8,Overall,Overall
AK,Kodiak Island,,Overall,Asian and Pacific Islander
AK,Lake and Peninsula,,Overall,Asian and Pacific Islander
AK,Matanuska-Susitna,94.6,Overall,Asian and Pacific Islander
AK,Nome,,Overall,Asian and Pacific Islander
AK,North Slope,,Overall,Asian and Pacific Islander
AK,Northwest Arctic,,Overall,Asian and Pacific Islander
AK,Prince of Wales-Outer Ketchikan,,Overall,Asian and Pacific Islander
AK,Sitka,,Overall,Asian and Pacific Islander
AK,Skagway-Hoonah-Angoon,,Overall,Asian and Pacific Islander
AK,Southeast Fairbanks,,Overall,Asian and Pacific Islander
AK,Valdez-Cordova,,Overall,Asian and Pacific Islander
AK,Wade Hampton,,Overall,Asian and Pacific Islander
AK,Wrangell-Petersburg,,Overall,Asian and Pacific Islander
AK,Yakutat,,Overall,Asian and Pacific Islander
AK,Yukon-Koyukuk,,Overall,Asian and Pacific Islander
AK,Aleutians East,,Male,Asian and Pacific Islander
AK,Aleutians West,,Male,Asian and Pacific Islander
AK,Anchorage,269.3,Male,Asian and Pacific Islander
AK,Bethel,,Male,Asian and Pacific Islander
AK,Bristol Bay,,Male,Asian and Pacific Islander
AK,Denali,,Male,Asian and Pacific Islander
AK,Dillingham,,Male,Asian and Pacific Islander
AK,Fairbanks North Star,,Male,Asian and Pacific Islander
AK,Haines,,Male,Asian and Pacific Islander
AK,Juneau,,Male,Asian and Pacific Islander
AK,Kenai Peninsula,211.5,Male,Asian and Pacific Islander
AK,Ketchikan Gateway,,Male,Asian and Pacific Islander
AK,Kodiak Island,,Male,Asian and Pacific Islander
AK,Lake and Peninsula,,Male,Asian and Pacific Islander
AK,Matanuska-Susitna,165.9,Male,Asian and Pacific Islander
AK,Nome,,Male,Asian and Pacific Islander
AK,North Slope,,Male,Asian and Pacific Islander
AK,Northwest Arctic,,Male,Asian and Pacific Islander
AK,Prince of Wales-Outer Ketchikan,,Male,Asian and Pacific Islander
AK,Sitka,,Male,Asian and Pacific Islander
AK,Skagway-Hoonah-Angoon,,Male,Asian and Pacific Islander
AK,Southeast Fairbanks,,Male,Asian and Pacific Islander
AK,Valdez-Cordova,,Male,Asian and Pacific Islander
AK,Wade Hampton,,Male,Asian and Pacific Islander
AK,Wrangell-Petersburg,,Male,Asian and Pacific Islander
AK,Yakutat,,Male,Asian and Pacific Islander
AK,Yukon-Koyukuk,,Male,Asian and Pacific Islander
AK,Aleutians East,,Female,Asian and Pacific Islander
AK,Aleutians West,,Female,Asian and Pacific Islander
AK,Anchorage,174.8,Female,Asian and Pacific Islander
AK,Bethel,,Female,Asian and Pacific Islander
AK,Bristol Bay,,Female,Asian and Pacific Islander
AK,Denali,,Female,Asian and Pacific Islander
AK,Dillingham,,Female,Asian and Pacific Islander
AK,Fairbanks North Star,,Female,Asian and Pacific Islander
AK,Haines,,Female,Asian and Pacific Islander
AK,Juneau,,Female,Asian and Pacific Islander
AK,Kenai Peninsula,144.5,Female,Asian and Pacific Islander
AK,Ketchikan Gateway,,Female,Asian and Pacific Islander
AK,Kodiak Island,,Female,Asian and Pacific Islander
AK,Lake and Peninsula,,Female,Asian and Pacific Islander
AK,Matanuska-Susitna,161.3,Female,Asian and Pacific Islander
AK,Nome,,Female,Asian and Pacific Islander
AK,North Slope,,Female,Asian and Pacific Islander
AK,Northwest Arctic,,Female,Asian and Pacific Islander
AK,Prince of Wales-Outer Ketchikan,,Female,Asian and Pacific Islander
AK,Sitka,,Female,Asian and Pacific Islander
AK,Skagway-Hoonah-Angoon,,Female,Asian and Pacific Islander
